Business Name,Category,Area/Address,City,Phone,Google Rating,Google Reviews,Website,Instagram,Facebook,WhatsApp,Google Maps,Priority,Website Status,Contact Status,Follow-up Date,Notes
Beauty Canvas by Shireen Salon,Beauty Salon,"66 Commercial Dr, Rafi Block, Phase 8 Bahria Town",Rawalpindi,#ERROR!,4.9,75,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Beauty+Canvas+by+Shireen+Salon+Phase+8+Rawalpindi,A,New,New,,Phase 8 target
Arisha's,Beauty Salon,"Plaza 13, Basement, Main Rafi Commercial, Phase 8 Bahria Town",Rawalpindi,#ERROR!,5,16,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Arishas+Phase+8+Rawalpindi,A,New,New,,Phase 8 target
Nadia's Saloon,Beauty Salon,"Building 24, Assets Plaza, Main Rafi Commercial, Phase 8 Bahria Town",Rawalpindi,#ERROR!,3.5,22,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Nadias+Saloon+Phase+8+Rawalpindi,A,New,New,,Phase 8 target
Glam by Neelam,Beauty Salon,"House 947, Street 28, Abu Bakr Block, Phase 8",Rawalpindi,#ERROR!,5,12,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Glam+by+Neelam+Phase+8+Rawalpindi,A,New,New,,Phase 8 target
The Beauty Station,Beauty Salon,"Plaza 97, Shop 101, Sector E1, Phase 8 Bahria Town",Rawalpindi,#ERROR!,4.7,310,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=The+Beauty+Station+Phase+8+Rawalpindi,B,New,New,,Strong business/review presence
Naqsh Beauty Lounge,Beauty Salon,"Shop 1, Plaza 43, Swiss Arcade, Rafi Block, Phase 8",Rawalpindi,#ERROR!,3.8,25,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Naqsh+Beauty+Lounge+Phase+8+Rawalpindi,A,New,New,,Phase 8 target
Honey's Beauty Salon Institute & Spa,Beauty Salon,"Plaza 7, Bahria Safari Valley, Rafi Block",Rawalpindi,#ERROR!,5,2,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Honeys+Beauty+Salon+Institute+Spa+Phase+8+Rawalpindi,A,New,New,,Very small review footprint
Fizza's Saloon,Beauty Salon,"Plaza 100 Ground Shop 1, Linear Commercial Park, Bahria Safari Valley",Rawalpindi,#ERROR!,3.4,14,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Fizza+Saloon+Phase+8+Rawalpindi,A,New,New,,Phase 8 target
Glamorous Saloon & Yoga,Beauty Salon,"Lane 4, Bahria Safari Valley, Rafi Block",Rawalpindi,#ERROR!,4.9,22,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Glamorous+Saloon+Yoga+Phase+8+Rawalpindi,A,New,New,,Phase 8 target
Glam Street Bahria Phase 7 Ladies Only,Beauty Salon,"Park Plaza, Box Park, Bahria Food Street, Phase 7",Rawalpindi,#ERROR!,4.8,873,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Glam+Street+Bahria+Phase+7+Rawalpindi,B,New,New,,High review count
Blush Studio Luxury Makeup and Hair,Beauty Salon,"Paradise Arcade, Mini Commercial Ext-II, Phase 7",Rawalpindi,#ERROR!,4.9,69,Not checked,Not checked,Not checked,Not checked,https://www.google.com/maps/search/?api=1&query=Blush+Studio+Phase+7+Rawalpindi,A,New,New,,Strong prospect
